# legalhist.whitelist candidates for OCR digit-corrupted reporter abbreviations
# sample: 1052158 pages (10.0% of moml.page_ocrtext)
# reporter_standard is proposed by stripping letter-flanked digits and
# looking the result up in the current whitelist. REVIEW BEFORE APPLYING.
# confidence is "canonical" when the stripped spelling is itself a reporter in
# legalhist.reporters, and "via-variant" when it is another whitelist variant
# that maps onward, in which case the proposal inherits that entry's looseness.
#
# count	reporter_found	stripped	reporter_standard	confidence	example
1	"A1m. B."	"Am. B."	"A.B.R."	via-variant	"39 A1m. B. 1"
1	"A1m. St."	"Am. St."	"Am. St. Rep."	via-variant	"4 A1m. St. 542"
1	"A1m. St. Rep."	"Am. St. Rep."	"Am. St. Rep."	canonical	"58 A1m. St. Rep. 627"
1	"A1pp."	"App."	"L.R.A.C."	via-variant	"23 A1pp. 1"
1	"A1pp. Div."	"App. Div."	"A.D."	via-variant	"7 A1pp. Div. 214"
1	"A1shm."	"Ashm."	"Ash."	via-variant	"2 A1shm. 41"
1	"A1t."	"At."	"A."	via-variant	"43 A1t. 435"
1	"A2tk."	"Atk."	"Atk"	via-variant	"1 A2tk. 21"
1	"A3d."	"Ad."	"Ad & E"	via-variant	"107 A3d. 3"
1	"A4b."	"Ab."	"Abb. Pr."	via-variant	"15 A4b., 177"
1	"A4bb."	"Abb."	"Abb. Pr."	canonical	"1 A4bb. 6"
1	"A4d."	"Ad."	"Ad & E"	via-variant	"4 A4d. 589"
1	"A4id."	"Aid."	"Md."	via-variant	"4 A4id. 182"
1	"A4l."	"Al."	"Al"	via-variant	"56 A4l. 1131"
1	"A4la."	"Ala."	"Ala."	canonical	"1 A4la. 70"
1	"A4m."	"Am."	"A.B.R."	via-variant	"3 A4m.\n\t\t\t93"
1	"A4m. Dec."	"Am. Dec."	"Am. Dec."	canonical	"0 A4m. Dec.,\n\t\t\t553"
1	"A6b. Pr."	"Ab. Pr."	"Abb. Pr."	via-variant	"4 A6b. Pr. 72"
1	"A9m. Dec."	"Am. Dec."	"Am. Dec."	canonical	"78 A9m. Dec. 632"
1	"Ab1l."	"Abl."	"Abb. Pr."	via-variant	"7 Ab1l. 210"
1	"Al1k."	"Alk."	"Atk"	via-variant	"2 Al1k. 47"
1	"All1en"	"Allen"	"Allen"	canonical	"7 All1en 1"
1	"Alle1n"	"Allen"	"Allen"	canonical	"3 Alle1n 1"
1	"Allen (M1ass.)"	"Allen (Mass.)"	"Allen"	via-variant	"18 Allen (M1ass.), 338"
1	"Allen (M5ass.)"	"Allen (Mass.)"	"Allen"	via-variant	"5 Allen (M5ass.) 16"
1	"Am. Bankr. R1ep."	"Am. Bankr. Rep."	"A.B.R."	via-variant	"1 Am. Bankr. R1ep. 504"
1	"Am. D1ec."	"Am. Dec."	"Am. Dec."	canonical	"30 Am. D1ec. 75"
1	"Am. S3t."	"Am. St."	"Am. St. Rep."	via-variant	"50 Am. S3t. 1"
1	"Am. S8t. Rep."	"Am. St. Rep."	"Am. St. Rep."	canonical	"30 Am. S8t. Rep. 61"
1	"Ap1p."	"App."	"L.R.A.C."	via-variant	"23 Ap1p., 51"
1	"Ash1m."	"Ashm."	"Ash."	via-variant	"2 Ash1m. 105"
1	"Atl. Re1p."	"Atl. Rep."	"A."	via-variant	"41 Atl. Re1p. 712"
1	"B. & A4d."	"B. & Ad."	"B & Ad"	via-variant	"5 B. & A4d. 992"
1	"B. & Al1l."	"B. & All."	"B & A"	via-variant	"1 B. & Al1l. 101"
1	"B. M1onr."	"B. Monr."	"B. Mon"	via-variant	"12 B. M1onr. 361"
1	"B. M3on. (Ky.)"	"B. Mon. (Ky.)"	"B. Mon"	via-variant	"5 B. M3on. (Ky.)\n\t\t\t4"
1	"B. l1on."	"B. lon."	"B. Mon"	via-variant	"10 B. l1on. 147"
1	"B1all & B."	"Ball & B."	"Ball & B."	canonical	"1 B1all & B. 255"
1	"B1arb. (N. Y.)"	"Barb. (N. Y.)"	"Barb."	via-variant	"48 B1arb. (N. Y.) 1"
1	"B1arh."	"Barh."	"Barb."	via-variant	"14 B1arh. 611"
1	"B1arr"	"Barr"	"Barr"	canonical	"5 B1arr, 71"
1	"B1cav."	"Bcav."	"Beav"	via-variant	"27 B1cav. 4"
1	"B1en."	"Ben."	"Ben."	canonical	"1 B1en. 40"
1	"B1env."	"Benv."	"Beav"	via-variant	"30 B1env. 86"
1	"B1est & S."	"Best & S."	"B & S"	via-variant	"3 B1est & S. 826"
1	"B1inn."	"Binn."	"Binn."	canonical	"2 B1inn. 497"
1	"B1l."	"Bl."	"H Bl"	via-variant	"4 B1l. 510"
1	"B1l. Rep."	"Bl. Rep."	"Black W"	via-variant	"2 B1l. Rep. 1113"
1	"B1lkf."	"Blkf."	"Blackf."	via-variant	"8 B1lkf. 134"
1	"B1os. & P."	"Bos. & P."	"Bos & Pul"	via-variant	"2 B1os. & P. 321"
1	"B1radf."	"Bradf."	"Bradf."	canonical	"2 B1radf. 357"
1	"B1rews."	"Brews."	"Brewster"	via-variant	"4 B1rews. 275"
1	"B1ro. C. C."	"Bro. C. C."	"Bro CC"	via-variant	"3 B1ro. C. C. 171"
1	"B1ro. P. C."	"Bro. P. C."	"Bro PC"	via-variant	"5 B1ro. P. C. 391"
1	"B1ur."	"Bur."	"Bur."	canonical	"3 B1ur. 1394"
1	"B1urr."	"Burr."	"Burr"	via-variant	"3 B1urr. 1"
1	"B1ush"	"Bush"	"Bush"	canonical	"11 B1ush, 34"
1	"B3arbour"	"Barbour"	"Barb."	via-variant	"35 B3arbour, 190"
1	"B3arr."	"Barr."	"Barr"	via-variant	"4 B3arr. 73"
1	"B3eav"	"Beav"	"Beav"	canonical	"2 B3eav, 153"
1	"B3env."	"Benv."	"Beav"	via-variant	"27 B3env. 598"
1	"B3iss."	"Biss."	"Biss."	canonical	"6 B3iss. 98"
1	"B3lkf."	"Blkf."	"Blackf."	via-variant	"7 B3lkf. 206"
1	"B3radf."	"Bradf."	"Bradf."	canonical	"4 B3radf. 218"
1	"B3rownl."	"Brownl."	"Brownl"	via-variant	"2 B3rownl. 101"
1	"B3ulst."	"Bulst."	"Bulst"	via-variant	"1 B3ulst. 63"
1	"B3ulstr."	"Bulstr."	"Bulst"	via-variant	"3 B3ulstr. 198"
1	"B7arb."	"Barb."	"Barb."	canonical	"12 B7arb. 484"
1	"Ba1il."	"Bail."	"Bail."	canonical	"29 Ba1il., 59"
1	"Ba1rb. (N. Y.)"	"Barb. (N. Y.)"	"Barb."	via-variant	"9 Ba1rb. (N. Y.) 101"
1	"Ba1rn. & C."	"Barn. & C."	"B & C"	via-variant	"7 Ba1rn. & C. 531"
1	"Bal1rb."	"Balrb."	"Barb."	via-variant	"1 Bal1rb., 12"
1	"Bar1l."	"Barl."	"Barb."	via-variant	"20 Bar1l. 9"
1	"Bar1n. & C."	"Barn. & C."	"B & C"	via-variant	"7 Bar1n. & C. 4"
1	"Bar7l."	"Barl."	"Barb."	via-variant	"37 Bar7l. 292"
1	"Barn. & Ai4d."	"Barn. & Aid."	"B & A"	via-variant	"5 Barn. & Ai4d. 34"
1	"Bea1r."	"Bear."	"Beav"	via-variant	"4 Bea1r. 534"
1	"Bl3ack"	"Black"	"Black"	canonical	"1 Bl3ack, 381"
1	"Bl3atchf."	"Blatchf."	"Blatchf."	canonical	"10 Bl3atchf. 271"
1	"Bla3tchf."	"Blatchf."	"Blatchf."	canonical	"3 Bla3tchf. 148"
1	"Blackf. (In1d.)"	"Blackf. (Ind.)"	"Blackf."	via-variant	"2 Blackf. (In1d.) 2"
1	"Blatc7if."	"Blatcif."	"Blatchf."	via-variant	"2 Blatc7if. 343"
1	"Bu1r."	"Bur."	"Bur."	canonical	"2 Bu1r. 7"
1	"Bu1sh"	"Bush"	"Bush"	canonical	"9 Bu1sh, 565"
1	"Bu1sh (Ky.)"	"Bush (Ky.)"	"Bush"	via-variant	"3 Bu1sh (Ky.), 702"
